Pitching Data for 453329 for game: gid_2014_08_31_mlb_tbamlb_1/																																																
dateStamp	park_sv_id		ab_tot  ab_ct	pit_id	bat_id	ab_id	des		type	id	sz_top	sz_bot	pfx_xDF	pfx_zDF	mlbpitch_name	zloc	pitcon	stand	strikes	balls	p_throwsgid			pdes			spin	norm_ht		inning		tstart		vystart		ftime		pfx_x		pfx_z		uncorted_pfx_x	uncorted_pfx_z	x0		y0	z0		vx0		vy0		vz0		ax		ay		az		strtspd	px		pz		pxold	pzold	sb
8/31/2014	140831_151112tba	4	2	453329	425766	35	Groundout	B	270	3.69	1.81	12.794	-7.146	CU		0.902	L	1	0	R	gid_2014_08_31_mlb_tbamlb_1/	Ball			60.9996	-1.64255	5		0.087553973	-113.0755292	0.355790297	9.099053859	-7.696220734	9.099053859	-7.696220734	-1.263696921	55	6.15352349	-1.447751209	-116.4780034	0.228106904	11.9799991	26.03499908	-42.31200052	79.42	-0.550408385	1.257745337	-0.374	1.206	1
8/31/2014	140831_151130tba	4	3	453329	425766	35	Groundout	B	271	3.69	1.81	2.218	5.5	CH		0.894	L	1	1	R	gid_2014_08_31_mlb_tbamlb_1/	Ball			158.265	0.509574	5		0.085081766	-116.6639932	0.340908315	-0.915569131	4.681744944	-0.915569131	4.681744944	-1.288037535	55	5.998123456	-0.35175502	-119.2644846	0.057450466	-1.312999929	20.45099945	-25.4650004	81.32	-1.596508483	3.235546355	-1.462	3.229	11
8/31/2014	140831_151153tba	4	4	453329	425766	35	Groundout	X	272	3.69	1.81	4.577	8.347	FC		0.906	L	1	2	R	gid_2014_08_31_mlb_tbamlb_1/	"In play, out(s)"	151.419	-0.556383	5		0.0770595	-128.7977096	0.308912247	1.949568904	7.605323122	1.949568904	7.605323122	-1.390984984	55	6.047594543	3.425258821	-131.7033788	-4.957002696	3.404999767	25.23100014	-18.89600015	89.89	0.367744723	2.24636587	0.504	2.227	21
8/31/2014	140831_151234tba	4	1	453329	523253	36	Groundout	B	276	3.44	1.55	-3.25	10.352	FF		0.904	R	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	Ball			197.327	-1.35238	5		0.075228311	-131.7633546	0.303663618	-5.622325305	9.589267737	-5.622325305	9.589267737	-1.189275743	55	6.084631981	4.990295016	-135.2442663	-8.548759615	-10.16200014	30.98099823	-14.84700037	92.46	0.007402584	1.243412917	0.124	1.217	0
8/31/2014	140831_151251tba	4	2	453329	523253	36	Groundout	B	277	3.44	1.55	6.583	7.214	FC		0.906	R	0	1	R	gid_2014_08_31_mlb_tbamlb_1/	Ball			137.818	-0.313228	5		0.078193372	-126.8751605	0.314183139	3.821302078	6.473469862	3.821302078	6.473469862	-1.337034267	55	5.979021069	5.18169848	-129.9020645	-4.14495112	6.452000175	25.90800018	-21.24900079	88.69	1.495647277	2.218754731	1.649	2.199	10
8/31/2014	140831_151309tba	4	3	453329	523253	36	Groundout	S	278	3.44	1.55	2.9	12.255	FC		0.681	R	0	2	R	gid_2014_08_31_mlb_tbamlb_1/	Foul			166.768	-0.0349206	5		0.075433975	-131.3805143	0.304790931	0.377349737	11.44590223	0.377349737	11.44590223	-1.175182901	55	5.988997593	3.135802228	-134.9221239	-5.989612485	0.67700008	31.43799896	-11.6440003	92.11	0.19281886	2.474152937	0.321	2.462	20
8/31/2014	140831_151339tba	4	4	453329	523253	36	Groundout	X	279	3.44	1.55	-1.924	7.038	FF		0.901	R	1	2	R	gid_2014_08_31_mlb_tbamlb_1/	"In play, out(s)"	195.164	-0.878307	5		0.074839433	-132.6158008	0.300044097	-4.267254242	6.361990253	-4.267254242	6.361990253	-1.055819303	55	6.073093344	2.465334431	-135.6154514	-6.435074289	-7.900000061	26.82000084	-20.40099931	92.58	-0.710499753	1.692072481	-0.601	1.665	21
8/31/2014	140831_151421tba	4	1	453329	488862	37	Flyout		S	283	3.39	1.56	6.674	6.924	FC		0.906	R	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	Swinging Strike		136.26	-0.832787	5		0.077557831	-127.9070855	0.31173072	3.952538229	6.201386565	3.952538229	6.201386565	-1.382510411	55	6.037651576	5.337215211	-130.9818404	-5.449429781	6.77899984	26.53399963	-21.54299951	89.46	1.519488735	1.73788187	1.672	1.713	0
8/31/2014	140831_151449tba	4	2	453329	488862	37	Flyout		S	284	3.39	1.56	-0.255	9.349	CH		0.909	R	1	0	R	gid_2014_08_31_mlb_tbamlb_1/	Foul			181.508	-0.738798	5		0.082627652	-120.0657186	0.332008856	-3.168006749	8.477559426	-3.168006749	8.477559426	-1.110754155	55	6.077023369	5.014577356	-122.9319194	-4.944484035	-4.789999987	23.21600075	-19.36100031	83.95	0.676368309	1.816795433	0.822	1.799	1
8/31/2014	140831_151518tba	4	3	453329	488862	37	Flyout		B	285	3.39	1.56	12.827	-7.006	CU		0.901	R	2	0	R	gid_2014_08_31_mlb_tbamlb_1/	Ball			61.5364	1.51803		5		0.086983632	-113.9483201	0.351248478	9.224292129	-7.546139664	9.224292129	-7.546139664	-1.084654946	55	6.167014436	0.400107278	-116.982604	5.451875736	12.461		23.35699959	-42.37300134	79.85	0.550278098	3.885332518	0.733	3.864	2
8/31/2014	140831_151535tba	4	4	453329	488862	37	Flyout		X	286	3.39	1.56	13.857	-5.583	CU		0.899	R	2	1	R	gid_2014_08_31_mlb_tbamlb_1/	"In play, out(s)"	68.2422	0.472131	5		0.086888434	-114.1632346	0.349371806	10.26554534	-6.154055007	10.26554534	-6.154055007	-0.898262106	55	6.166334878	-0.923717453	-116.9328617	2.983091616	14.01699976	21.33500023	-40.58200098	79.76	0.268384813	2.936606478	0.445	2.907	12
8/31/2014	140831_152705tba	2	1	453329	150040	41	Single		B	314	3.62	1.67	4.054	5.773	FC		0.898	R	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	Ball			145.165	0.717949	6		0.07954967	-124.8552492	0.317685776	1.289206529	5.050855363	1.289206529	5.050855363	-1.575860845	55	5.854127099	5.44016911	-127.4038196	-0.524362411	2.129000221	21.42999954	-23.83799959	86.95	1.002284461	3.353105133	1.152	3.345	0
8/31/2014	140831_152721tba	2	2	453329	150040	41	Single		X	315	3.62	1.67	0.987	10.067	FF		0.874	R	0	1	R	gid_2014_08_31_mlb_tbamlb_1/	"In play, no out"	174.466	-0.450256	6		0.075450485	-131.475514	0.303310621	-1.47048537	9.313073784	-1.47048537	9.313073784	-1.189609842	55	5.992627371	2.775311421	-134.6481741	-5.874369334	-2.664		28.14400024	-15.3070004	91.91	-0.265528458	2.223947166	-0.145	2.206	10
8/31/2014	140831_152814tba	3	1	453329	446481	42	Strikeout	S	319	3.18	1.45	0.823	10.152	FF		0.894	R	0	0	R	gid_2014_08_31_mlb_tbamlb_1/	Foul			175.429	0.354913	6		0.074909555	-132.3676412	0.301838257	-1.607662336	9.402173447	-1.607662336	9.402173447	-0.98027471	55	6.074991605	3.846782984	-135.7336453	-5.210949912	-2.94099995	30.08100052	-14.97900034	92.65	0.359555006	2.637028097	0.483	2.622	0
